id|ko|aliases|definition|note|refs
pancha-mahapurusha-yoga|판차 마하푸루샤 요가|pañca mahāpuruṣa;five great person yogas|다섯 비발광체 행성의 특정 강한 배치로 정의하는 요가군.|루차카·바드라·함사·말라비야·샤샤의 각각 조건을 보존한다.|bphs-yoga
gaja-kesari-yoga|가자 케사리 요가|Gajakesari;gajakeśarī|달과 목성의 켄드라 관계를 중심으로 정의하는 요가.|추가 강약 조건과 예외가 문헌별로 다르다.|bphs-yoga
kemadruma-yoga|케마드루마 요가|Kemadruma;kemadruma|달 주변 특정 사인들의 행성 부재와 연결되는 요가.|태양 제외 여부와 상쇄 조건을 생략하지 않는다.|bphs-yoga
chara-karakas|차라 카라카|cara kāraka;Chara Karakas;가변 카라카|사인 내 도수 순서 등으로 역할을 배당하는 시그니피케이터.|7개·8개 체계와 라후의 역산 여부를 구별한다.|bphs-karaka;jh
atmakaraka|아트마카라카|ātmakāraka;AK|차라 카라카 체계에서 최우선 순위로 정하는 행성.|태양의 자연적 아트마카라카 용법과 도수 순위 용법을 구별한다.|bphs-karaka
arudha-padas|아루다 파다|ārūḍha pada;하우스 아루다|하우스와 그 주인의 거리 등을 투영하여 구하는 점.|낙샤트라의 네 파다와 다르며 예외 규칙을 보존한다.|bphs-arudha
arudha-lagna|아루다 라그나|Ārūḍha Lagna;AL;A1|첫 하우스의 아루다.|보이는 모습·사회적 표상 등의 해석을 실제 ASC와 구별한다.|bphs-arudha
upapada-lagna|우파파다 라그나|Upapada;UL;A12|주로 12하우스의 아루다로 산출하는 특수점.|혼인 관련 용법과 계산 예외를 기록한다.|bphs-arudha
karakamsha|카라캄샤|kārakāṃśa;Karakamsha|아트마카라카의 나밤샤 위치를 기준으로 삼는 라그나.|이를 D9에서 쓰는지 D1에 투영하는지 학파 차이를 보존한다.|bphs-karaka
argala|아르갈라|argalā;intervention;개입|특정 사인·하우스 관계가 다른 위치에 개입하는 구조.|비로다 아르갈라의 방해 조건과 드리슈티를 구별한다.|bphs-arudha
jaimini-longevity-doctrines|자이미니 수명론|Jaimini longevity;āyurdaya|자이미니 계통의 장·중·단 수명 등 분류 규칙군.|역사적 이론으로 서술하며 실제 수명 계산의 정확성을 전제하지 않는다.|rath-books
prashna|프라슈나|praśna;Prasna;प्रश्न|질문 시점과 징표를 사용하는 인도의 질문 점성술.|서양 호라리와 겹치는 목적이 있어도 판단 규칙은 독립적으로 보존한다.|prashna
prashna-marga|프라슈나 마르가|Praśnamārga;Prasna Marga|질문 점성술을 다루는 케랄라 계열 문헌.|문헌명이며 그 안의 모든 기법을 하나의 공식으로 취급하지 않는다.|prashna
ashtamangala-prashna|아슈타망갈라 프라슈나|Aṣṭamaṅgala Praśna|의례·수리·징표 등을 결합하는 케랄라 질문 점복 전통.|통상 질문차트 한 장만 보는 절차로 축소하지 않는다.|prashna
muhurta|무후르타|muhūrta;Muhurta;인도 택일|행동의 적절한 시각을 고르는 인도 전통 및 시간 단위.|시간 단위의 무후르타와 택일 분야라는 뜻을 문맥으로 구별한다.|panchanga
kuta-matching|쿠타 궁합|kūṭa;kuta;Ashtakoota|낙샤트라 등 여러 항목을 대조하는 전통적 혼인 적합성 평가.|아슈타쿠타·다샤쿠타 등의 항목수와 배점 차이를 남긴다.|panchanga
varshaphala|바르샤팔라|varṣaphala;Varshaphal;연간 결과|연간 회귀차트의 결과를 판단하는 인도 전통.|특히 타지카 용법과 다른 인도 연간차트 기법을 구별한다.|tajika-full
muntha|문타|munthā;Muntha|연령에 따라 매년 사인 등을 이동시키는 연간차트 기준점.|기점·도수 처리와 연령 경계를 명시한다.|tajika-full
varshesha|바르셰샤|varṣeśa;varshesh;연주인|타지카 연간차트에서 선정하는 그 해의 주인 행성.|서양 프로펙션의 연주인과 같은 선정법으로 치환하지 않는다.|tajika-full
tajika-aspects|타지카 애스펙트|Tājika aspects;타지카 시선|타지카 전통의 행성 간 각 관계와 그 평가.|그라하 드리슈티 및 서양의 현대 오브 규칙과 구별한다.|tajika-full
tajika-yogas|타지카 요가|itthaśāla;īśarāpha;타지카 행성 조합|접근·분리·개입 등을 다루는 타지카 조합 규칙군.|파라샤라 요가와 별개다. 비슷한 아랍·서양 명칭과도 조건을 대조한다.|tajika-full
tajika-sahamas|타지카 사하마|sahama;saham;사함|여러 위치의 각거리로 산출하는 타지카의 특수점.|서양 랏과 대응해도 추가 보정과 주야 규칙이 같다고 가정하지 않는다.|tajika-full
panchavargiya-bala|판차바르기야 발라|pañcavargīya bala;Panchavargeeya|타지카에서 다섯 지위 요소로 평가하는 행성의 힘.|여섯 힘의 샤드발라나 여러 분할차트의 빔쇼파카와 구별한다.|tajika-full
mudda-dasha|무다 다샤|Muddā daśā;Mudda|연간차트의 해석을 위해 기간을 축소·배당하는 다샤.|원래 생애 다샤의 날짜를 그대로 재사용하지 않는다.|tajika-full
kp-sub-lords|KP 서브로드|sub-lord;sub lord;세부 구간 주인|낙샤트라를 빔쇼타리 비율로 세분한 구간의 주인.|사인 주인·낙샤트라 주인·서브서브로드를 분리한다.|kp
kp-ruling-planets|KP 룰링 플래닛|Ruling Planets;RP|판단 시점 등의 상승점·달·요일에서 선정하는 행성 집합.|모든 차트 주인이나 다샤 주인의 동의어가 아니다.|kp-ruling
kp-significator-rules|KP 시그니피케이터 규칙|KP significators|위치·지배권·스타로드 등으로 하우스 의미를 연결하는 규칙군.|서양 호라리의 시그니피케이터 선정 규칙으로 치환하지 않는다.|kp
nadi-amsha-variants|나디 암샤 변형|nāḍī aṃśa;Nadi amsa;Nadyamsa|사인의 매우 세밀한 나디 분할 및 그 배정 방식들.|균등 분할과 찬드라 칼라 나디의 불균등 분할을 구별한다.|jh;nadi
remedial-traditions|점성 처방 전통|upāya;remedial measures;우파야|만트라·보시·보석·의례 등으로 결과의 변화를 구하는 전통.|역사적 실천·종교적 믿음·효과의 경험적 근거를 따로 기록한다.|bphs-remedies
