id|ko|aliases|definition|note|refs
refranation|리프레이네이션|refranation;후퇴|예정된 정확각 전에 운동이 바뀌어 그 연결이 완성되지 않는 상태.|특히 정지·역행의 발생 시점을 확인한다.|lilly
abscission-of-light|빛의 절단|abscission;abscission of light|접근 중인 빛의 연결이 차단되는 것을 가리키는 말.|개입·좌절의 상위 범주인지 별도 규칙인지 저자별로 구별한다.|sky-a
void-of-course-moon|보이드 오브 코스 문|보이드 문;VOC;void of course|달이 정해진 범위에서 후속 애스펙트를 맺지 않는 상태.|사인 이탈 전인지 다음 일정 각거리인지 정의가 다르다.|sky-v
timing-in-horary|호라리 시기 판단|horary timing;시기 추정|접근 거리와 사인·하우스 등으로 사건의 시기를 추정하는 절차.|도수를 자동으로 날짜로 환산하지 않으며 시간 단위 근거를 남긴다.|lilly
lost-object-horary|분실물 호라리|lost property;lost object|잃어버린 물건의 위치·상태·회수를 묻는 분야.|소유자·물건·회수 행동의 상징성을 나누어 기록한다.|lilly
missing-person-horary|실종자 호라리|missing person;absent person|부재하거나 연락이 끊긴 사람을 묻는 역사적 질문 유형.|차트 해석을 실제 소재나 생사의 확인으로 표현하지 않는다.|lilly
missing-animal-horary|실종동물 호라리|lost animal;strayed cattle|사라진 동물의 위치와 귀환을 묻는 질문 유형.|동물 분류와 소유 관계에 따른 하우스 배정을 출처별로 적는다.|lilly
direction-and-distance-in-horary|호라리의 방향·거리 판단|horary direction;horary distance|사인·하우스 등의 대응으로 방위와 거리를 추정하는 규칙군.|지리적 측정치와 상징적 대응값을 구별한다.|lilly
relationship-horary|관계 호라리|relationship question;marriage horary|교제·혼인·관계의 진행을 묻는 질문 유형.|감정·행동·성사·지속은 각각 다른 질문으로 구별한다.|lilly
employment-horary|취업·직업 호라리|employment;office;preferment|채용·직위·승진·직업 변경을 묻는 질문 유형.|고용주·직무·보수의 시그니피케이터를 섞지 않는다.|lilly
litigation-horary|소송 호라리|lawsuit;litigation|분쟁 당사자와 판정의 결과를 묻는 질문 유형.|판사·상대방·당사자 배정 및 합의와 승소의 차이를 보존한다.|lilly
property-horary|부동산 호라리|land;purchase of property|토지·주거·매매·임대에 관한 질문 유형.|물건의 상태와 거래 성사·가격의 판단을 구별한다.|lilly
travel-horary|여행 호라리|journey;travel question|예정되거나 진행 중인 이동을 묻는 질문 유형.|여행 시각을 고르는 택일 및 이주차트와 구별한다.|lilly
pregnancy-horary-in-historical-texts|역사 문헌의 임신 호라리|pregnancy question;conception horary|임신·출산을 대상으로 삼은 역사적 호라리 규칙군.|전통의 질문 유형을 설명하는 명칭이며 임신 확인 방법이 아니다.|lilly
weather-horary|날씨 호라리|weather question|특정 질문의 차트로 날씨를 판단하는 방법.|계절 인그레스나 삭망을 사용하는 기상 점성술과 구별한다.|lilly
sports-contest-horary|경기 호라리|contest horary;sports astrology|경쟁 상황의 승패를 질문차트로 다루는 방법.|응원팀 기준·홈팀 기준 등 배정법을 보편 규칙으로 합치지 않는다.|sky-h
electional-chart-selection|택일 차트 선정|electional astrology;election|행동의 시작 시각을 점성술적 조건으로 선택하는 절차.|실제 선택 가능한 시간 범위와 무엇을 시작으로 삼는지 적는다.|sky-e
electional-lunar-conditions|택일의 달 조건|electional Moon|택일에서 달의 위상·애스펙트·상태를 평가하는 조건군.|단일 달 조건만으로 전체 차트의 적합성을 확정하지 않는다.|sky-e
electional-natal-integration|택일과 출생차트 결합|natal election;radical election|선정한 시각을 당사자의 출생차트와 함께 판단하는 방식.|독립 택일과 출생차트 종속 택일의 전제를 구별한다.|sky-e
planetary-days-and-hours|행성 요일·시간|planetary hours;행성시;unequal hours|요일과 낮·밤의 각 12시간에 전통 행성을 배정하는 체계.|통상 계절에 따라 시간 길이가 변한다. 균등한 60분과 구별한다.|lilly
electional-marriage|혼인 택일|marriage election|혼인 관련 행위의 시작을 선택하는 택일 분야.|서약·신고·의식 중 기준 사건과 당사자를 명시한다.|sky-e
electional-business|사업 택일|business election|사업 개시·계약 등 상업 행위의 시각을 고르는 분야.|계약 체결·개점·첫 거래는 서로 다른 사건이다.|sky-e
electional-travel|여행 택일|travel election|여행 출발 등의 시각을 고르는 분야.|현관을 나서는 때·승차·출항 등 시작 정의를 고정한다.|sky-e
inception-charts|시작 차트|inception;event chart;개시 차트|사건이나 활동이 시작된 순간을 대상으로 작성한 차트.|자연히 시작된 사건과 의도적으로 고른 택일을 구별한다.|sky-i
interrogation-versus-inception|질문 차트와 시작 차트|interrogation;inception|질문이 성립한 시각과 사건이 시작된 시각의 구분.|둘은 같은 사건을 다뤄도 동일 차트가 아니다.|sky-h;sky-i
